"","word","freq"
"bigger","bigger",3
"biggest","biggest",3
"bird","bird",3
"blonde","blonde",3
"blows","blows",3
"boneless","boneless",3
"boom","boom",3
"bother","bother",3
"bottled","bottled",3
"bowl","bowl",3
"box","box",3
"brandy","brandy",3
"broccoli","broccoli",3
"brûlée","brûlée",3
"buck","buck",3
"bullshit","bullshit",3
"burnt","burnt",3
"buttermilk","buttermilk",3
"calimari","calimari",3
"cant","cant",3
"cap","cap",3
"capital","capital",3
"cauliflower","cauliflower",3
"celebrate","celebrate",3
"celebrating","celebrating",3
"celebration","celebration",3
"char","char",3
"checking","checking",3
"cheers","cheers",3
"cheesesteaks","cheesesteaks",3
"cherry","cherry",3
"chewy","chewy",3
"chg","chg",3
"chili","chili",3
"chopped","chopped",3
"coconut","coconut",3
"cod","cod",3
"coleslaw","coleslaw",3
"contact","contact",3
"corned","corned",3
"corner","corner",3
"corporate","corporate",3
"cost","cost",3
"couples","couples",3
"cow","cow",3
"crack","crack",3
"creative","creative",3
"crunchy","crunchy",3
"crust","crust",3
"crème","crème",3
"cuisine","cuisine",3
"darn","darn",3
"darned","darned",3
"deliciousness","deliciousness",3
"desert","desert",3
"didnt","didnt",3
"dipping","dipping",3
"disappointment","disappointment",3
"doesnt","doesnt",3
"dollar","dollar",3
"domestics","domestics",3
"doors","doors",3
"douche","douche",3
"downhill","downhill",3
"dropped","dropped",3
"drunk","drunk",3
"duck","duck",3
"easy","easy",3
"eats","eats",3
"eddie","eddie",3
"efficient","efficient",3
"entry","entry",3
"espresso","espresso",3
"etc","etc",3
"expectations","expectations",3
"experienced","experienced",3
"eye","eye",3
"fails","fails",3
"fair","fair",3
"fairly","fairly",3
"fav","fav",3
"favorites","favorites",3
"feed","feed",3
"feeling","feeling",3
"fellow","fellow",3
"fest","fest",3
"fiesta","fiesta",3
"fillet","fillet",3
"fills","fills",3
"finally","finally",3
"fix","fix",3
"fixe","fixe",3
"flat","flat",3
"flavorful","flavorful",3
"foodie","foodie",3
"foodservice","foodservice",3
"freaking","freaking",3
"ftw","ftw",3
"garbage","garbage",3
"gay","gay",3
"general","general",3
"girls","girls",3
"giving","giving",3
"gold","gold",3
"gotten","gotten",3
"grand","grand",3
"guacamole","guacamole",3
"guess","guess",3
"guest","guest",3
"guy","guy",3
"gyoza","gyoza",3
"hair","hair",3
"hang","hang",3
"hash","hash",3
"healthy","healthy",3
"hear","hear",3
"heavy","heavy",3
"hidden","hidden",3
"hill","hill",3
"honor","honor",3
"hookah","hookah",3
"hopefully","hopefully",3
"host","host",3
"including","including",3
"interesting","interesting",3
"intimate","intimate",3
"issues","issues",3
"jalapeño","jalapeño",3
"kelly","kelly",3
"kept","kept",3
"kick","kick",3
"knowledgeable","knowledgeable",3
"ladies","ladies",3
"lady","lady",3
"lake","lake",3
"leaving","leaving",3
"leftovers","leftovers",3
"lemon","lemon",3
"lettuce","lettuce",3
"level","level",3
"liked","liked",3
"lives","lives",3
"liz","liz",3
"locations","locations",3
"lost","lost",3
"loving","loving",3
"low","low",3
"macaroni","macaroni",3
"main","main",3
"man","man",3
"managed","managed",3
"margaritas","margaritas",3
"matt","matt",3
"mayo","mayo",3
"memorable","memorable",3
"microwaved","microwaved",3
"mimosas","mimosas",3
"modern","modern",3
"mom","mom",3
"mondaythursday","mondaythursday",3
"mothers","mothers",3
"mushroom","mushroom",3
"napkins","napkins",3
"nearly","nearly",3
"nobody","nobody",3
"noise","noise",3
"none","none",3
"noodles","noodles",3
"normal","normal",3
"nuts","nuts",3
"occasions","occasions",3
"october","october",3
"offered","offered",3
"offers","offers",3
"onions","onions",3
"orange","orange",3
"overrated","overrated",3
"oyster","oyster",3
"pacific","pacific",3
"pad","pad",3
"parents","parents",3
"part","part",3
"passed","passed",3
"patrons","patrons",3
"penny","penny",3
"per","per",3
"perch","perch",3
"piccata","piccata",3
"pictures","pictures",3
"pier","pier",3
"pineapple","pineapple",3
"placed","placed",3
"plantains","plantains",3
"platter","platter",3
"playing","playing",3
"polite","polite",3
"poorly","poorly",3
"pop","pop",3
"presented","presented",3
"pretzel","pretzel",3
"pretzels","pretzels",3
"previous","previous",3
"prix","prix",3
"products","products",3
"pudding","pudding",3
"pumpkin","pumpkin",3
"quoted","quoted",3
"rack","rack",3
"rainbow","rainbow",3
"redeem","redeem",3
"refills","refills",3
"rehearsal","rehearsal",3
"reliable","reliable",3
"reuben","reuben",3
"rotisserie","rotisserie",3
"running","running",3
"saki","saki",3
"sandwiches","sandwiches",3
"sangria","sangria",3
"satisfied","satisfied",3
"seasonal","seasonal",3
"set","set",3
"shall","shall",3
"shame","shame",3
"sharing","sharing",3
"sick","sick",3
"single","single",3
"site","site",3
"sliders","sliders",3
"smokey","smokey",3
"son","son",3
"spent","spent",3
"spice","spice",3
"split","split",3
"sports","sports",3
"spotted","spotted",3
"squash","squash",3
"starving","starving",3
"steal","steal",3
"stellar","stellar",3
"store","store",3
"subpar","subpar",3
"superb","superb",3
"superior","superior",3
"support","support",3
"swordfish","swordfish",3
"taco","taco",3
"taken","taken",3
"team","team",3
"teas","teas",3
"ten","ten",3
"tenderloin","tenderloin",3
"tequila","tequila",3
"thai","thai",3
"thanksgiving","thanksgiving",3
"thought","thought",3
"throw","throw",3
"timing","timing",3
"tips","tips",3
"toko","toko",3
"tomahawk","tomahawk",3
"tomatoes","tomatoes",3
"tonite","tonite",3
"tornado","tornado",3
"total","total",3
"tough","tough",3
"trendy","trendy",3
"trout","trout",3
"true","true",3
"turtle","turtle",3
"unbelievable","unbelievable",3
"undercooked","undercooked",3
"unfortunately","unfortunately",3
"upper","upper",3
"version","version",3
"visiting","visiting",3
"visits","visits",3
"wanton","wanton",3
"weather","weather",3
"wedding","wedding",3
"weight","weight",3
"whatever","whatever",3
"whiskey","whiskey",3
"win","win",3
"word","word",3
"words","words",3
"working","working",3
"write","write",3
"yelpers","yelpers",3
"yes","yes",3
"yesterday","yesterday",3
"york","york",3
"yuengling","yuengling",3
"1015","1015",2
"1030","1030",2
"10oz","10oz",2
"1499","1499",2
"2013","2013",2
"247","247",2
"300","300",2
"330","330",2
"400","400",2
"4306pm","4306pm",2
"450","450",2
"4pm","4pm",2
"550","550",2
"5pm","5pm",2
"630","630",2
"699","699",2
"730","730",2
"900","900",2
"999","999",2
"accommodated","accommodated",2
"accurate","accurate",2
"acknowledged","acknowledged",2
"acted","acted",2
"adam","adam",2
"adults","adults",2
"advertised","advertised",2
"advice","advice",2
"afraid","afraid",2
"afternoon","afternoon",2
"aged","aged",2
"ahi","ahi",2
"akron","akron",2
"alert","alert",2
"alive","alive",2
"allergy","allergy",2
"alll","alll",2
"allowed","allowed",2
"along","along",2
"amber","amber",2
"america","america",2
"amy","amy",2
"angel","angel",2
"answered","answered",2
"anytime","anytime",2
"april","april",2
"areas","areas",2
"ashley","ashley",2
"asks","asks",2
"attached","attached",2
"awhile","awhile",2
